test_year,rule,capacity,test_component_units,damage_units,selected_units,selected_damage_units,damage_capture,selected_hit_rate,overall_damage_rate,damage_lift,cost_capture,aos_capture,fallback_share
2005,Full hierarchy,0.1,6927,726,693,381,0.5247933884297521,0.5497835497835498,0.10480727587700303,5.245662051447176,0.6895742576455264,0.8666736161784635,0.01443001443001443
2005,Full hierarchy with certificates,0.05,6927,726,347,228,0.3140495867768595,0.6570605187319885,0.10480727587700303,6.269226189058518,0.39444229129238906,0.6967928003057785,0.008645533141210375
2005,Full hierarchy with certificates,0.1,6927,726,693,381,0.5247933884297521,0.5497835497835498,0.10480727587700303,5.245662051447176,0.6895742576455264,0.8666736161784635,0.01443001443001443
2006,Direct full cell,0.05,6752,696,338,205,0.29454022988505746,0.606508875739645,0.10308056872037914,5.8838332313133375,0.4197443873748839,0.5512630969981359,0.0
2006,Direct full cell,0.1,6752,696,676,335,0.4813218390804598,0.49556213017751477,0.10308056872037914,4.807522274365776,0.6245147530102321,0.8674423089284566,0.0
2006,EB component,0.05,6752,696,338,122,0.1752873563218391,0.3609467455621302,0.10308056872037914,3.501598313269401,0.39896975639035054,0.3847014205823745,0.0
2006,EB component,0.1,6752,696,676,201,0.28879310344827586,0.2973372781065089,0.10308056872037914,2.884513364619466,0.5689603109649202,0.4896573889567397,0.0
2006,EB component-phase,0.05,6752,696,338,159,0.22844827586206898,0.47041420118343197,0.10308056872037914,4.563558457457662,0.17862148881052836,0.5402069807803561,0.0
2006,EB component-phase,0.1,6752,696,676,247,0.35488505747126436,0.36538461538461536,0.10308056872037914,3.5446507515473034,0.6818290265316518,0.6865591052259433,0.0
2006,EB component-phase-size,0.05,6752,696,338,202,0.29022988505747127,0.5976331360946746,0.10308056872037914,5.797728354757533,0.5216807723817604,0.6530050780998907,0.0
2006,EB component-phase-size,0.1,6752,696,676,323,0.4640804597701149,0.47781065088757396,0.10308056872037914,4.635312521254166,0.6172320968643026,0.8257118981808832,0.0
2006,Full hierarchy,0.05,6752,696,338,210,0.3017241379310345,0.621301775147929,0.10308056872037914,6.027341358906345,0.4304817904877759,0.7744423732082021,0.005917159763313609
2006,Full hierarchy,0.1,6752,696,676,347,0.4985632183908046,0.5133136094674556,0.10308056872037914,4.979732027477386,0.6195082248154447,0.8654882046667095,0.010355029585798817
2006,Full hierarchy with certificates,0.05,6752,696,338,210,0.3017241379310345,0.621301775147929,0.10308056872037914,6.027341358906345,0.4304817904877759,0.7744423732082021,0.005917159763313609
2006,Full hierarchy with certificates,0.1,6752,696,676,347,0.4985632183908046,0.5133136094674556,0.10308056872037914,4.979732027477386,0.6195082248154447,0.8654882046667095,0.010355029585798817
2007,Direct full cell,0.05,6847,672,343,210,0.3125,0.6122448979591837,0.09814517306849715,6.238155976676385,0.7378217166179527,0.6629478759664145,0.0
2007,Direct full cell,0.1,6847,672,685,345,0.5133928571428571,0.5036496350364964,0.09814517306849715,5.131680135557874,0.8193926414395578,0.8061351733311165,0.0
2007,EB component,0.05,6847,672,343,107,0.15922619047619047,0.3119533527696793,0.09814517306849715,3.178488997639872,0.6322938327177713,0.30107240834649596,0.0
2007,EB component,0.1,6847,672,685,178,0.2648809523809524,0.25985401459854013,0.09814517306849715,2.6476494612443515,0.7868218492058782,0.3350569457145232,0.0
2007,EB component-phase,0.05,6847,672,343,147,0.21875,0.42857142857142855,0.09814517306849715,4.366709183673469,0.7291232154862697,0.3826086956521739,0.0
2007,EB component-phase,0.1,6847,672,685,225,0.33482142857142855,0.3284671532846715,0.09814517306849715,3.3467479144942645,0.7601590942300998,0.4555158367279076,0.00145985401459854
2007,EB component-phase-size,0.05,6847,672,343,207,0.3080357142857143,0.6034985422740525,0.09814517306849715,6.149039462723866,0.7371634843829126,0.5487904231440685,0.0029154518950437317
2007,EB component-phase-size,0.1,6847,672,685,331,0.49255952380952384,0.4832116788321168,0.09814517306849715,4.923438043100452,0.83914225504294,0.7821265275584005,0.00291970802919708
2007,Full hierarchy,0.05,6847,672,343,223,0.3318452380952381,0.6501457725947521,0.09814517306849715,6.624327537137304,0.713933980063913,0.6879707373846538,0.014577259475218658
2007,Full hierarchy,0.1,6847,672,685,347,0.5163690476190477,0.5065693430656935,0.09814517306849715,5.161429005908933,0.8322657749260961,0.827333942971153,0.017518248175182483
2007,Full hierarchy with certificates,0.05,6847,672,343,223,0.3318452380952381,0.6501457725947521,0.09814517306849715,6.624327537137304,0.713933980063913,0.6879707373846538,0.014577259475218658
2007,Full hierarchy with certificates,0.1,6847,672,685,347,0.5163690476190477,0.5065693430656935,0.09814517306849715,5.161429005908933,0.8322657749260961,0.827333942971153,0.017518248175182483
2008,Direct full cell,0.05,6390,628,320,205,0.32643312101910826,0.640625,0.09827856025039124,6.518461385350318,0.7624233292909415,0.7359760484600923,0.0
2008,Direct full cell,0.1,6390,628,639,334,0.5318471337579618,0.5226917057902973,0.09827856025039124,5.318471337579618,0.8494071585370127,0.8428064149279365,0.0
2008,EB component,0.05,6390,628,320,107,0.17038216560509553,0.334375,0.09827856025039124,3.402318869426751,0.44065037482208763,0.3135748601666396,0.0
2008,EB component,0.1,6390,628,639,176,0.2802547770700637,0.27543035993740217,0.09827856025039124,2.8025477707006368,0.7374692628651947,0.42435073223942255,0.0
2008,EB component-phase,0.05,6390,628,320,147,0.2340764331210191,0.459375,0.09827856025039124,4.67421377388535,0.7215670566485043,0.37955763919511687,0.0
2008,EB component-phase,0.1,6390,628,639,237,0.37738853503184716,0.37089201877934275,0.09827856025039124,3.7738853503184715,0.7805716390459456,0.5959570171977626,0.0
2008,EB component-phase-size,0.05,6390,628,320,200,0.3184713375796178,0.625,0.09827856025039124,6.359474522292993,0.7827095666047599,0.6734978067630608,0.0
2008,EB component-phase-size,0.1,6390,628,639,319,0.5079617834394905,0.49921752738654146,0.09827856025039124,5.079617834394904,0.8439813856379994,0.7660083087706269,0.0
2008,Full hierarchy,0.05,6390,628,320,210,0.3343949044585987,0.65625,0.09827856025039124,6.677448248407643,0.7437787664453624,0.7812797363473901,0.003125
2008,Full hierarchy,0.1,6390,628,639,339,0.5398089171974523,0.5305164319248826,0.09827856025039124,5.398089171974522,0.8578237143704501,0.881611622995335,0.012519561815336464
2008,Full hierarchy with certificates,0.05,6390,628,320,210,0.3343949044585987,0.65625,0.09827856025039124,6.677448248407643,0.7437787664453624,0.7812797363473901,0.003125
