rule,capacity,test_years,test_component_units,damage_units,selected_units,selected_damage_units,damage_capture,selected_hit_rate,overall_damage_rate,damage_lift,hard_consequence_capture,cost_capture,aos_capture,annual_lift_mean,annual_lift_p05,annual_lift_min,annual_lift_sd
hierarchical_eb_execution,0.1,31,273838,22992,27395,11585,0.5038709116214335,0.42288738820952726,0.08396205055543789,5.036649121978102,0.3121037516030562,0.7670197881664257,0.7663818424198301,5.011531072622146,3.166660056489513,2.9172335600907027,0.9784964587033329
membership_probability,0.1,31,273838,22992,27395,11564,0.5029575504523313,0.42212082496805986,0.08396205055543789,5.027519244415604,0.31192312555316726,0.7659992913056959,0.7672557219030656,5.001993926880602,3.0989397381870805,2.9172335600907027,0.986525581683291
random_forest,0.1,31,273838,22992,27395,11396,0.4956506610995129,0.4159883190363205,0.08396205055543789,4.95448022391562,0.31130899698354497,0.790902316393574,0.7560311869292228,4.927718331759425,3.327530761264181,3.0020368612561303,0.8947057449455061
direct_full_cell,0.1,31,273838,22992,27395,11251,0.48934411969380653,0.41069538236904546,0.08396205055543789,4.8914405931269425,0.3048967722124885,0.7683594362845665,0.7564098882512748,4.862323964985221,2.9589876166954876,2.7306662975267626,0.9871074698900698
species_size_component,0.1,31,273838,22992,27395,10293,0.44767745302713985,0.37572549735353167,0.08396205055543789,4.474944273847269,0.2757437277604176,0.6815638244471326,0.6490860444625688,4.454471344696985,3.134106099369859,3.086840162421558,0.7670467700590649
aos_burden_rule,0.1,31,273838,22992,27395,9356,0.4069241475295755,0.34152217557948533,0.08396205055543789,4.067577832130093,0.2900312483066308,0.5621285409721315,0.7830942591202875,4.04793041454223,2.4210038811451513,2.238807150767284,0.8658914489506225
cost_burden_rule,0.1,31,273838,22992,27395,7736,0.3364648573416841,0.28238729695199855,0.08396205055543789,3.3632729915945276,0.24171377996134602,0.74046298040087,0.4621848014461006,3.3224394146708414,2.240672182907642,2.0083388013998253,0.6514090216908427
component_only,0.1,31,273838,22992,27395,5733,0.24934759916492694,0.20927176492060595,0.08396205055543789,2.4924565745619733,0.19307118472626122,0.6637023738251938,0.33440804570653027,2.4979042369591684,2.022449639030639,0.9751066919303712,0.39200235641569475
frequency,0.1,31,273838,22992,27395,887,0.038578636047320806,0.03237817119912393,0.08396205055543789,0.38562863799694236,0.04087567508986146,0.02807221624803383,0.008145582431363317,0.38979553905641373,0.07487255415278773,0.04375985268986713,0.3198200607723772
catboost,0.2,31,273838,22992,54779,16573,0.7208159359777314,0.3025429452892532,0.08396205055543789,3.603329638662079,0.49986453046258333,0.9228659528455944,0.8974763862612802,3.597578450785063,2.904569448723576,2.8294333267287497,0.37196394523435017
lightgbm,0.2,31,273838,22992,54779,16476,0.7165970772442589,0.30077219372387226,0.08396205055543789,3.5822397349059556,0.4948611888806604,0.925966650074231,0.8994807563690265,3.576339085067361,2.8752989839035874,2.8294333267287497,0.375155590598939
xgboost,0.2,31,273838,22992,54779,16361,0.7115953375086986,0.2986728490845032,0.08396205055543789,3.557236240762099,0.4936690569513935,0.92097004668577,0.8992655349598179,3.5515964091347065,2.8745240748830057,2.761458952513044,0.35606149166968626
ridge_logistic,0.2,31,273838,22992,54779,16254,0.7069415448851775,0.29671954581135107,0.08396205055543789,3.533972120123902,0.48467387966692554,0.9153119087226134,0.8846946254220149,3.5293899401359408,2.8449410094350362,2.7529621557360806,0.3565854485289878
tabm,0.2,31,273838,22992,54779,16174,0.7034620737647878,0.29525913214918126,0.08396205055543789,3.516578385067306,0.49867239853331646,0.906771868023876,0.8808534625122635,3.5092253542573895,2.774626736721718,2.7444653589591175,0.3893748950722088
membership_x_boundary_excess,0.2,31,273838,22992,54779,15935,0.6930671537926235,0.29089614633344896,0.08396205055543789,3.4646146015857253,0.48810577461481497,0.9164102087923427,0.8968055919347158,3.458062600601491,2.7537103567444117,2.6715017532325223,0.3589069260609893
